reviewer,instance_id,comment_idx,file_original,file_normalized,line_start,line_end,severity,message_truncated,nearest_oracle_file_match,nearest_oracle_site_id,nearest_oracle_distance_lines,distance_bucket,is_round1_hit
gpt-4o-mini,django__django-11099,1,django/contrib/auth/validators.py,django/contrib/auth/validators.py,20,20,medium,"The regex for UnicodeUsernameValidator is the same as ASCIIUsernameValidator, which may lead to confusion.",True,site-0002,0,right_file_distance_0,True
gpt-4o-mini,django__django-11099,2,django/contrib/auth/validators.py,django/contrib/auth/validators.py,25,25,medium,Using flags=0 for UnicodeUsernameValidator may not handle Unicode characters correctly.,True,site-0002,2,right_file_distance_1_to_3,True
claude-sonnet-4-5,django__django-11133,1,django/http/response.py,django/http/response.py,173,173,high,Should use datetime.datetime.utcnow() instead of expires.utcnow() which is invalid.,True,site-0001,56,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-11133,2,django/http/response.py,django/http/response.py,199,199,medium,samesite validation excludes 'none' which is a valid SameSite value.,True,site-0001,30,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11133,1,django/http/response.py,django/http/response.py,170,170,high,Using 'utcnow()' instead of 'now()' may lead to incorrect max_age calculation for aware datetime.,True,site-0001,59,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11133,2,django/http/response.py,django/http/response.py,180,180,high,Setting 'expires' to None before calculating 'max_age' can lead to incorrect cookie behavior.,True,site-0001,49,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11133,3,django/http/response.py,django/http/response.py,201,201,medium,"The 'samesite' attribute should be validated against all possible values, not just 'lax' and 'strict'.",True,site-0001,28,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11133,4,django/http/response.py,django/http/response.py,425,425,medium,Using 'filelike.name' directly may lead to an AttributeError if 'filelike' does not have a 'name' attribute.,True,site-0001,190,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11133,5,django/http/response.py,django/http/response.py,431,431,medium,The content type may not be set correctly if 'filename' is not provided.,True,site-0001,196,right_file_distance_gt_10,False
static,django__django-11133,1,django/http/response.py,django/http/response.py,130,130,high,E1101: Instance of 'UnicodeError' has no 'reason' member,True,site-0001,99,right_file_distance_gt_10,False
static,django__django-11133,2,django/http/response.py,django/http/response.py,53,53,medium,"B904: Within an `except` clause, raise exceptions with `raise ... from err` or `raise ... from None` to distinguish them from errors in exception handling",True,site-0001,176,right_file_distance_gt_10,False
static,django__django-11133,3,django/http/response.py,django/http/response.py,53,53,medium,"W0707: Consider explicitly re-raising using 'except (ValueError, TypeError) as exc' and 'raise TypeError('HTTP status code must be an integer.') from exc'",True,site-0001,176,right_file_distance_gt_10,False
static,django__django-11133,4,django/http/response.py,django/http/response.py,248,248,medium,W0718: Catching too general exception Exception,True,site-0001,13,right_file_distance_gt_10,False
static,django__django-11133,5,django/http/response.py,django/http/response.py,287,287,medium,W1113: Keyword argument before variable positional arguments list in the definition of __init__ function,True,site-0001,52,right_file_distance_gt_10,False
static,django__django-11133,6,django/http/response.py,django/http/response.py,317,317,medium,W0718: Catching too general exception Exception,True,site-0001,82,right_file_distance_gt_10,False
static,django__django-11133,7,django/http/response.py,django/http/response.py,355,355,medium,W1113: Keyword argument before variable positional arguments list in the definition of __init__ function,True,site-0001,120,right_file_distance_gt_10,False
static,django__django-11133,8,django/http/response.py,django/http/response.py,378,378,medium,W0201: Attribute '_iterator' defined outside __init__,True,site-0001,143,right_file_distance_gt_10,False
static,django__django-11133,9,django/http/response.py,django/http/response.py,402,402,medium,W0201: Attribute 'file_to_stream' defined outside __init__,True,site-0001,167,right_file_distance_gt_10,False
static,django__django-11133,10,django/http/response.py,django/http/response.py,405,405,medium,W0201: Attribute 'file_to_stream' defined outside __init__,True,site-0001,170,right_file_distance_gt_10,False
static,django__django-11283,1,django/contrib/auth/migrations/0011_update_proxy_permissions.py,django/contrib/auth/migrations/0011_update_proxy_permissions.py,5,5,medium,W0613: Unused argument 'schema_editor',True,site-0001,0,right_file_distance_0,True
static,django__django-11283,2,django/contrib/auth/migrations/0011_update_proxy_permissions.py,django/contrib/auth/migrations/0011_update_proxy_permissions.py,13,13,medium,W0212: Access to a protected member _meta of a client class,True,site-0002,1,right_file_distance_1_to_3,True
claude-sonnet-4-5,django__django-11422,1,django/utils/autoreload.py,django/utils/autoreload.py,563,563,medium,setDaemon() is deprecated; use daemon property or daemon parameter in Thread constructor instead.,True,site-0001,443,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-11422,2,django/utils/autoreload.py,django/utils/autoreload.py,77,77,medium,Exception constructor call may fail if the original exception requires arguments.,True,site-0001,37,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11422,1,django/utils/autoreload.py,django/utils/autoreload.py,228,228,high,The error message in ValueError should be formatted using f-string for better readability.,True,site-0001,108,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11422,2,django/utils/autoreload.py,django/utils/autoreload.py,234,234,high,The error message in ValueError should be formatted using f-string for better readability.,True,site-0001,114,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11422,3,django/utils/autoreload.py,django/utils/autoreload.py,268,268,medium,The logger message should be more descriptive to aid in debugging.,True,site-0001,148,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11422,4,django/utils/autoreload.py,django/utils/autoreload.py,278,278,medium,Swallowing exceptions without logging can hide important errors.,True,site-0001,158,right_file_distance_gt_10,False
gpt-4o-mini,django__django-11422,5,django/utils/autoreload.py,django/utils/autoreload.py,312,312,medium,The trigger_reload function should handle exceptions to avoid crashing.,True,site-0001,192,right_file_distance_gt_10,False
static,django__django-11422,1,django/utils/autoreload.py,django/utils/autoreload.py,96,96,high,E1101: Module 'signal' has no 'SIGTTOU' member,True,site-0001,18,right_file_distance_gt_10,False
static,django__django-11422,2,django/utils/autoreload.py,django/utils/autoreload.py,52,52,medium,W0603: Using the global statement,True,site-0001,62,right_file_distance_gt_10,False
static,django__django-11422,3,django/utils/autoreload.py,django/utils/autoreload.py,58,58,medium,W0612: Unused variable 'et',True,site-0001,56,right_file_distance_gt_10,False
static,django__django-11422,4,django/utils/autoreload.py,django/utils/autoreload.py,75,75,medium,W0602: Using global for '_exception' but no assignment is done,True,site-0001,39,right_file_distance_gt_10,False
static,django__django-11422,5,django/utils/autoreload.py,django/utils/autoreload.py,265,267,medium,"W0120: Else clause on loop without a break statement, remove the else and de-indent all the code inside it",True,site-0001,145,right_file_distance_gt_10,False
static,django__django-11422,6,django/utils/autoreload.py,django/utils/autoreload.py,276,276,medium,B018: Found useless attribute access. Either assign it to a variable or remove it.,True,site-0001,156,right_file_distance_gt_10,False
static,django__django-11422,7,django/utils/autoreload.py,django/utils/autoreload.py,277,277,medium,W0718: Catching too general exception Exception,True,site-0001,157,right_file_distance_gt_10,False
static,django__django-11422,8,django/utils/autoreload.py,django/utils/autoreload.py,397,397,medium,B019: Use of `functools.lru_cache` or `functools.cache` on methods can lead to memory leaks,True,site-0001,277,right_file_distance_gt_10,False
static,django__django-11422,9,django/utils/autoreload.py,django/utils/autoreload.py,476,476,medium,W0718: Catching too general exception Exception,True,site-0001,356,right_file_distance_gt_10,False
static,django__django-11422,10,django/utils/autoreload.py,django/utils/autoreload.py,496,496,medium,W0613: Unused argument 'kwargs',True,site-0001,376,right_file_distance_gt_10,False
static,django__django-11422,11,django/utils/autoreload.py,django/utils/autoreload.py,540,540,medium,"B904: Within an `except` clause, raise exceptions with `raise ... from err` or `raise ... from None` to distinguish them from errors in exception handling",True,site-0001,420,right_file_distance_gt_10,False
static,django__django-11422,12,django/utils/autoreload.py,django/utils/autoreload.py,540,540,medium,W0707: Consider explicitly re-raising using 'except Exception as exc' and 'raise WatchmanUnavailable('Cannot connect to the watchman service.') from exc',True,site-0001,420,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-12915,1,django/contrib/staticfiles/handlers.py,django/contrib/staticfiles/handlers.py,77,79,high,"ASGIStaticFilesHandler.__init__ does not call super().__init__(), unlike StaticFilesHandler which does.",True,site-0002,20,right_file_distance_gt_10,False
